# DTStamp_FHdata_calc_t_look (time_lookahead_length) 2024-09-14 15:51:57 112594134 
# rtime[1], u[2], u_next[3], accn_csv_t[4], curr_accn_t[5], max_jerk[6], curr_frate[7], profile[8], t_look[9] eps[10] rho[11] min_tang_accn[12] max_tang_accn[13] 
    0.000000  0.000000000  0.000137282          nan  0.000000000 200.000000000  0.000000000   0     0.000000  0.000000999547630     2.372549         -nan         -nan 
    0.001000  0.000137282  0.000137281 30.000000519 16.458097299 200.000000000  0.016458097   0     0.200073  0.000000999669803     2.372603   -30.000001    30.000001 
    0.002000  0.000274563  0.000137278 30.000002077  2.849804397 200.000000000  0.019307902   0     0.042396  0.000000999761820     2.372766   -30.000002    30.000002 
    0.003000  0.000411841  0.000137273 30.000004673  3.267306227 200.000000000  0.022575208   0     0.047726  0.000000999823676     2.373037   -30.000005    30.000005 
    0.004000  0.000549114  0.000137265 30.000008307  3.731825659 200.000000000  0.026307034   0     0.053623  0.000000999855374     2.373417   -30.000008    30.000008 
    0.005000  0.000686379  0.000137256 30.000012979  4.246325857 200.000000000  0.030553359   0     0.060124  0.000000999856926     2.373906   -30.000013    30.000013 
    0.006000  0.000823635  0.000137245 30.000018688  4.813610953 200.000000000  0.035366970   0     0.067264  0.000000999828350     2.374503   -30.000019    30.000019 
    0.007000  0.000960880  0.000137231 30.000025436  5.436270348 200.000000000  0.040803241   0     0.075074  0.000000999769670     2.375208   -30.000025    30.000025 
    0.008000  0.001098111  0.000137216 30.000033220  6.116621829 200.000000000  0.046919863   0     0.083584  0.000000999680920     2.376022   -30.000033    30.000033 
    0.009000  0.001235327  0.000137198 30.000042041  6.856654748 200.000000000  0.053776517   0     0.092817  0.000000999562139     2.376945   -30.000042    30.000042 
    0.010000  0.001372525  0.000137178 30.000051899  7.657974598 200.000000000  0.061434492   0     0.102795  0.000000999413374     2.377976   -30.000052    30.000052 
    0.011000  0.001509703  0.000137157 30.000062792  8.521750348 200.000000000  0.069956242   0     0.113532  0.000000999234682     2.379115   -30.000063    30.000063 
    0.012000  0.001646860  0.000137133 30.000074721  9.448665947 200.000000000  0.079404908   0     0.125038  0.000000999026122     2.380363   -30.000075    30.000075 
    0.013000  0.001783993  0.000137107 30.000087684 10.438877320 200.000000000  0.089843786   0     0.137314  0.000000998787764     2.381719   -30.000088    30.000088 
    0.014000  0.001921100  0.000137079 30.000101680 11.491976133 200.000000000  0.101335762   0     0.150358  0.000000998519683     2.383184   -30.000102    30.000102 
    0.015000  0.002058179  0.000137049 30.000116711 12.606961447 200.000000000  0.113942723   0     0.164157  0.000000998221964     2.384757   -30.000117    30.000117 
    0.016000  0.002195229  0.000137017 30.000132773 13.782220223 200.000000000  0.127724943   0     0.178693  0.000000997894696     2.386439   -30.000133    30.000133 
    0.017000  0.002332246  0.000137150 30.000149867 15.015517418 200.000000000  0.142740461   0     0.193939  0.000000999970507     2.388228   -30.000150    30.000150 
    0.018000  0.002469397  0.000137114 30.000168014 16.324672378 200.000000000  0.159065133   0     0.210099  0.000000999583009     2.390129   -30.000168    30.000168 
    0.019000  0.002606511  0.000137076 30.000187194 17.668193220 200.000000000  0.176733326   0     0.226699  0.000000999166130     2.392138   -30.000187    30.000187 
    0.020000  0.002743588  0.000137036 30.000207405 19.059535536 200.000000000  0.195792862   0     0.243888  0.000000998719990     2.394255   -30.000207    30.000207 
    0.021000  0.002880624  0.000136994 30.000228645 20.494057818 200.000000000  0.216286920   0     0.261612  0.000000998244713     2.396481   -30.000229    30.000229 
    0.022000  0.003017618  0.000136950 30.000250915 21.966596800 200.000000000  0.238253517   0     0.279808  0.000000997740430     2.398816   -30.000251    30.000251 
    0.023000  0.003154568  0.000137071 30.000274213 23.471517191 200.000000000  0.261725034   0     0.298410  0.000000999637004     2.401259   -30.000274    30.000274 
    0.024000  0.003291639  0.000137023 30.000298567 25.034157130 200.000000000  0.286759191   0     0.317708  0.000000999073059     2.403813   -30.000299    30.000299 
    0.025000  0.003428661  0.000136972 30.000323949 26.589140221 200.000000000  0.313348331   0     0.336946  0.000000998480404     2.406476   -30.000324    30.000324 
    0.026000  0.003565634  0.000136920 30.000350358 28.157410719 200.000000000  0.341505742   0     0.356361  0.000000997859195     2.409247   -30.000350    30.000350 
    0.027000  0.003702554  0.000137033 30.000377792 29.732047346 200.000000000  0.371237789   0     0.375870  0.000000999637325     2.412127   -30.000378    30.000378 
    0.028000  0.003839587  0.000136977 30.000406285 30.000406285 200.000000000  0.402582834   0     0.380334  0.000000998957016     2.415119   -30.000406    30.000406 
    0.029000  0.003976564  0.000136919 30.000435802 30.000435802 200.000000000  0.435497834   0     0.381759  0.000000998248528     2.418220   -30.000436    30.000436 
    0.030000  0.004113482  0.000137025 30.000466343 30.000466343 200.000000000  0.469967846   0     0.383242  0.000000999938506     2.421429   -30.000466    30.000466 
    0.031000  0.004250507  0.000136963 30.000497944 30.000497944 200.000000000  0.506015604   0     0.384783  0.000000999171410     2.424751   -30.000498    30.000498 
    0.032000  0.004387470  0.000136899 30.000530567 30.000530567 200.000000000  0.543571226   0     0.386377  0.000000998376568     2.428182   -30.000531    30.000531 
    0.033000  0.004524369  0.000136999 30.000564212 30.000564212 200.000000000  0.582599159   0     0.388023  0.000000999978744     2.431722   -30.000564    30.000564 
    0.034000  0.004661368  0.000136931 30.000598917 30.000598917 200.000000000  0.623107519   0     0.389719  0.000000999125906     2.435374   -30.000599    30.000599 
    0.035000  0.004798300  0.000136861 30.000634643 30.000634643 200.000000000  0.665001751   0     0.391461  0.000000998245813     2.439136   -30.000635    30.000635 
    0.036000  0.004935161  0.000136956 30.000671386 30.000671386 200.000000000  0.708228239   0     0.393245  0.000000999760718     2.443006   -30.000671    30.000671 
    0.037000  0.005072117  0.000136882 30.000709191 30.000709191 200.000000000  0.752783005   0     0.395070  0.000000998823355     2.446990   -30.000709    30.000709 
