# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2024-09-14 15:51:57 112587703 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
     0     0.000000  0.000000000  0.000137282 -0.000000000 -1.000000000  0.000000000000000000          -nan   0.000000000          -nan  0.000000999547630     2.372549  0.000000000000000 
     1     0.001000  0.000137282  0.000137281 -0.000186044 -0.999999983  0.000000000000000000 -30.000000519  16.458097299  30.000000519  0.000000999669803     2.372603 16.458097299475053 
     2     0.002000  0.000274563  0.000137278 -0.000372087 -0.999999931 -0.000000000000000111 -30.000002077   2.849804397  30.000002077  0.000000999761820     2.372766  2.849804397425538 
     3     0.003000  0.000411841  0.000137273 -0.000558127 -0.999999844  0.000000000000000000 -30.000004673   3.267306227  30.000004673  0.000000999823676     2.373037  3.267306227369069 
     4     0.004000  0.000549114  0.000137265 -0.000744160 -0.999999723  0.000000000000000000 -30.000008307   3.731825659  30.000008307  0.000000999855374     2.373417  3.731825659448764 
     5     0.005000  0.000686379  0.000137256 -0.000930184 -0.999999567  0.000000000000000222 -30.000012979   4.246325857  30.000012979  0.000000999856926     2.373906  4.246325857000362 
     6     0.006000  0.000823635  0.000137245 -0.001116197 -0.999999377  0.000000000000000000 -30.000018688   4.813610953  30.000018688  0.000000999828350     2.374503  4.813610953146568 
     7     0.007000  0.000960880  0.000137231 -0.001302196 -0.999999152  0.000000000000000000 -30.000025436   5.436270348  30.000025436  0.000000999769670     2.375208  5.436270348122829 
     8     0.008000  0.001098111  0.000137216 -0.001488179 -0.999998893  0.000000000000000000 -30.000033220   6.116621829  30.000033220  0.000000999680920     2.376022  6.116621828542564 
     9     0.009000  0.001235327  0.000137198 -0.001674142 -0.999998599 -0.000000000000000444 -30.000042041   6.856654748  30.000042041  0.000000999562139     2.376945  6.856654747881565 
    10     0.010000  0.001372525  0.000137178 -0.001860084 -0.999998270  0.000000000000000000 -30.000051899   7.657974598  30.000051899  0.000000999413374     2.377976  7.657974597524243 
